year,tmID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,win_pct,points_per_game,points_allowed_per_game,fg_pct,three_pt_pct,ft_pct,total_rebounds_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,opp_total_rebounds_per_game,opp_offensive_rebounds_per_game,opp_defensive_rebounds_per_game,rebounding_pct,offensive_rebounding_pct,defensive_rebounding_pct,home_win_pct,away_win_pct,conf_win_pct,assists_per_game,turnovers_per_game,assist_to_turnover,blocks_per_game,steals_per_game,team_points_mean,team_points_max,team_points_std,team_assists_mean,team_assists_sum,team_rebounds_mean,team_rebounds_sum,team_steals_mean,team_steals_sum,team_blocks_mean,team_blocks_sum,team_minutes_sum,team_minutes_mean,made_playoffs_next_season
9,ATL,EA,7,N,,,,895,2258,542,725,202,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18,6825,141379,0.12,74.53,84.68,0.4,0.34,0.75,31.68,10.0,21.68,37.21,11.79,25.41,0.46,0.28,0.65,0.06,0.18,0.1,14.47,17.44,0.83,4.18,8.38,165.29,595,161.79,34.43,482,67.64,947,20.14,282,8.21,115,6364,454.57,1
10,ATL,EA,2,Y,L,,,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12,6950,120737,0.53,84.15,82.26,0.45,0.3,0.75,37.03,11.88,25.15,34.53,10.38,24.15,0.52,0.33,0.71,0.71,0.35,0.45,16.09,17.35,0.93,3.56,9.68,220.08,488,175.99,42.08,547,96.85,1259,25.31,329,9.31,121,6951,534.69,0
1,CHA,EA,8,N,,,,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16,6475,90963,0.25,68.31,75.91,0.43,0.34,0.75,29.22,9.53,19.69,30.94,10.19,20.75,0.49,0.31,0.66,0.31,0.19,0.24,17.22,15.5,1.11,2.81,6.94,168.15,565,157.09,42.38,551,71.92,935,17.08,222,6.92,90,6475,498.08,1
2,CHA,EA,4,Y,W,W,L,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6,6500,105525,0.56,64.22,62.78,0.42,0.36,0.78,29.62,9.66,19.97,28.47,10.75,17.72,0.51,0.35,0.65,0.69,0.44,0.71,14.59,14.81,0.99,3.56,6.78,171.25,450,141.23,38.92,467,79.0,948,18.08,217,9.5,114,6500,541.67,1
3,CHA,EA,2,Y,L,,,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,106670,0.56,70.03,66.66,0.43,0.4,0.74,29.84,9.44,20.41,28.59,9.22,19.38,0.51,0.33,0.69,0.69,0.44,0.57,15.5,12.75,1.22,3.28,7.53,165.08,411,161.32,36.77,478,66.46,864,17.54,228,6.92,90,6058,466.0,1
4,CHA,EA,2,Y,L,,,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12,6850,120061,0.53,65.21,64.56,0.42,0.36,0.77,28.56,10.06,18.5,29.62,11.35,18.26,0.49,0.36,0.62,0.76,0.29,0.5,14.68,14.62,1.0,3.38,8.21,200.73,422,130.88,45.09,496,87.91,967,25.36,279,10.45,115,6806,618.73,0
5,CHA,EA,5,N,,,,745,1744,436,590,166,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12,6900,116383,0.47,61.53,63.76,0.43,0.36,0.74,25.65,7.53,18.12,29.29,10.82,18.47,0.47,0.29,0.63,0.59,0.35,0.4,12.53,14.09,0.89,3.94,6.18,149.43,388,137.4,30.43,426,62.29,872,15.0,210,9.57,134,6900,492.86,0
6,CHA,EA,6,N,,,,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16,6945,98054,0.18,61.62,68.68,0.4,0.35,0.72,27.21,9.29,17.91,31.03,10.44,20.59,0.47,0.31,0.63,0.29,0.06,0.2,14.5,15.74,0.92,3.32,8.35,130.94,421,134.83,30.81,493,57.81,925,17.75,284,7.06,113,6945,434.06,0
7,CHA,EA,6,N,,,,864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,11,23,34,7,10,4,13,6,14,6825,106942,0.32,72.24,75.62,0.4,0.32,0.71,32.18,10.21,21.97,36.47,10.88,25.59,0.47,0.29,0.67,0.41,0.24,0.3,15.5,16.88,0.92,4.56,9.26,204.67,445,145.97,43.92,527,91.17,1094,26.25,315,12.92,155,6825,568.75,0
7,CHI,EA,7,N,,,,858,2175,449,643,157,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16,6800,57635,0.15,68.29,79.03,0.39,0.29,0.7,30.5,10.5,20.0,36.44,11.15,25.29,0.46,0.29,0.64,0.18,0.12,0.2,14.97,15.5,0.97,3.68,8.15,154.8,467,133.14,33.93,509,69.13,1037,18.47,277,8.33,125,6800,453.33,0
