bioID,pos,height,weight,birthDate
abrahta01w,C,74.0,190,1975-09-27
abrossv01w,F,74.0,169,1980-07-09
adairje01w,C,76.0,197,1986-12-19
adamsda01w,F-C,73.0,239,1989-02-19
adamsjo01w,C,75.0,180,1981-05-24
adamsmi01w,,0.0,0,0000-00-00
adubari99w,,0.0,0,0000-00-00
aglerbr99w,,0.0,0,0000-00-00
aguilel01w,G,67.0,165,1976-10-15
ajavoma01w,G,68.0,160,1986-05-07
alberma01w,G,64.0,0,1975-04-12
aldrima01w,G,71.0,153,1973-09-15
alexaer01w,G,67.0,140,1975-04-25
alhalta01w,F-G,72.0,149,1974-10-17
allench01w,G,71.0,135,1986-07-23
allenso99w,,0.0,0,0000-00-00
amachma01w,F,73.0,175,1978-01-30
ambermo01w,F,76.0,169,1970-12-21
anderam01w,F,72.0,167,1984-03-14
anderch01w,C,78.0,190,1981-01-22
anderjo01w,G,68.0,166,1986-07-22
anderke01w,G,67.0,125,1974-05-17
andrame01w,F,71.0,165,1975-12-31
angelyv01w,G,68.0,160,1963-10-14
anosini01w,C,75.0,211,1986-02-27
appelja01w,C,76.0,210,1988-05-14
arcaija01w,G,71.0,147,1969-04-11
artiska01w,F,73.0,155,1973-07-09
askamma01w,C,77.0,198,1970-08-07
atkinla01w,G-F,72.0,172,1984-03-22
atunrmo01w,G-F,70.0,143,1986-04-14
augusse01w,F,72.0,179,1984-04-30
aycocan01w,G-F,74.0,172,1973-02-28
ayimmi01w,F,75.0,0,1988-05-06
azizle01w,F,75.0,177,1979-02-28
azzije01w,G,68.0,143,1968-08-31
badertr01w,G,64.0,125,1973-02-26
bakerla01w,G,67.0,140,1968-12-18
bakersh01w,G,68.0,125,1982-12-03
balesal01w,C,79.0,218,1985-04-04
banchrh01w,C,75.0,185,1973-05-01
baranel01w,F,77.0,182,1972-01-28
barksla01w,G,70.0,156,1979-10-03
barnead01w,F,71.0,165,1977-02-03
barnequ01w,C,77.0,185,1976-09-26
bassmi01w,F,75.0,184,1983-12-02
batkosu01w,C,76.0,203,1980-12-17
batteja01w,F,73.0,163,1983-03-26
battlas01w,F,72.0,170,1982-05-31
bauerca01w,F-C,76.0,180,1972-06-27
beardal01w,G-F,71.0,160,1982-05-14
becenry01w,G,66.0,140,1971-08-11
beckan99wc,,0.0,0,0000-00-00
beckki01w,G,68.0,125,1985-12-27
bellje01w,F,73.0,160,1970-05-26
bennije01w,F,75.0,185,1981-10-06
berezva01w,C,76.0,0,1986-04-10
berggas01w,G,70.0,170,1976-11-18
berrysh01w,F-C,75.0,175,1967-07-06
berthlu01w,F-C,74.0,188,1978-03-31
berubca01w,F,72.0,155,1975-09-02
beviltu01w,G,67.0,145,1972-07-19
bibbyhe01w,,0.0,0,0000-00-00
bibbyje01w,G,67.0,139,1979-08-23
bibrzag01w,G-F,74.0,168,1982-10-21
birdsu01w,G,69.0,150,1980-10-16
bishoab01w,F-C,74.0,0,1988-11-29
bjedoni01w,C,78.0,195,1971-05-18
bjorkan01w,F,72.0,166,1989-07-14
bjorkte01w,C,76.0,175,1982-06-29
blackch01w,C,77.0,188,1985-11-12
blackde01w,G,63.0,124,1966-07-29
bladerh01w,G,67.0,138,1972-10-29
blodgci01w,G,69.0,130,1975-12-23
blueni01w,G,68.0,163,1984-03-29
blueoc01w,F,73.0,163,1976-08-18
bobbish01w,G,62.0,130,1985-12-06
boddiwh01w,G,69.0,149,1987-01-23
boguemu01w,,0.0,0,0000-00-00
boldeba01w,G,74.0,180,1969-06-16
boltoru01w,G,69.0,150,1967-05-25
bondla01w,G,67.0,132,1984-02-13
bonfisu01w,G,68.0,145,1974-09-08
bonnede01w,G,76.0,136,1987-08-21
bookeka01w,C,73.0,170,1965-04-10
