playerID,pos,height,weight,birthDate
abrahta01w,5,74.0,190,1975-09-27
abrossv01w,4,74.0,169,1980-07-09
adairje01w,5,76.0,197,1986-12-19
adamsda01w,3,73.0,239,1989-02-19
adamsjo01w,5,75.0,180,1981-05-24
adamsmi01w,0,0.0,0,0000-00-00
adubari99w,0,0.0,0,0000-00-00
aglerbr99w,0,0.0,0,0000-00-00
aguilel01w,1,67.0,165,1976-10-15
ajavoma01w,1,68.0,160,1986-05-07
alberma01w,1,64.0,0,1975-04-12
aldrima01w,1,71.0,153,1973-09-15
alexaer01w,1,67.0,140,1975-04-25
alhalta01w,2,72.0,149,1974-10-17
allench01w,1,71.0,135,1986-07-23
allenso99w,0,0.0,0,0000-00-00
amachma01w,4,73.0,175,1978-01-30
ambermo01w,4,76.0,169,1970-12-21
anderam01w,4,72.0,167,1984-03-14
anderch01w,5,78.0,190,1981-01-22
anderjo01w,1,68.0,166,1986-07-22
anderke01w,1,67.0,125,1974-05-17
andrame01w,4,71.0,165,1975-12-31
angelyv01w,1,68.0,160,1963-10-14
anosini01w,5,75.0,211,1986-02-27
appelja01w,5,76.0,210,1988-05-14
arcaija01w,1,71.0,147,1969-04-11
artiska01w,4,73.0,155,1973-07-09
askamma01w,5,77.0,198,1970-08-07
atkinla01w,2,72.0,172,1984-03-22
atunrmo01w,2,70.0,143,1986-04-14
augusse01w,4,72.0,179,1984-04-30
aycocan01w,2,74.0,172,1973-02-28
ayimmi01w,4,75.0,0,1988-05-06
azizle01w,4,75.0,177,1979-02-28
azzije01w,1,68.0,143,1968-08-31
badertr01w,1,64.0,125,1973-02-26
bakerla01w,1,67.0,140,1968-12-18
bakersh01w,1,68.0,125,1982-12-03
balesal01w,5,79.0,218,1985-04-04
banchrh01w,5,75.0,185,1973-05-01
baranel01w,4,77.0,182,1972-01-28
barksla01w,1,70.0,156,1979-10-03
barnead01w,4,71.0,165,1977-02-03
barnequ01w,5,77.0,185,1976-09-26
bassmi01w,4,75.0,184,1983-12-02
batkosu01w,5,76.0,203,1980-12-17
batteja01w,4,73.0,163,1983-03-26
battlas01w,4,72.0,170,1982-05-31
bauerca01w,3,76.0,180,1972-06-27
beardal01w,2,71.0,160,1982-05-14
becenry01w,1,66.0,140,1971-08-11
beckan99wc,0,0.0,0,0000-00-00
beckki01w,1,68.0,125,1985-12-27
bellje01w,4,73.0,160,1970-05-26
bennije01w,4,75.0,185,1981-10-06
berezva01w,5,76.0,0,1986-04-10
berggas01w,1,70.0,170,1976-11-18
berrysh01w,3,75.0,175,1967-07-06
berthlu01w,3,74.0,188,1978-03-31
berubca01w,4,72.0,155,1975-09-02
beviltu01w,1,67.0,145,1972-07-19
bibbyhe01w,0,0.0,0,0000-00-00
bibbyje01w,1,67.0,139,1979-08-23
bibrzag01w,2,74.0,168,1982-10-21
birdsu01w,1,69.0,150,1980-10-16
bishoab01w,3,74.0,0,1988-11-29
bjedoni01w,5,78.0,195,1971-05-18
bjorkan01w,4,72.0,166,1989-07-14
bjorkte01w,5,76.0,175,1982-06-29
blackch01w,5,77.0,188,1985-11-12
blackde01w,1,63.0,124,1966-07-29
bladerh01w,1,67.0,138,1972-10-29
blodgci01w,1,69.0,130,1975-12-23
blueni01w,1,68.0,163,1984-03-29
blueoc01w,4,73.0,163,1976-08-18
bobbish01w,1,62.0,130,1985-12-06
boddiwh01w,1,69.0,149,1987-01-23
boguemu01w,0,0.0,0,0000-00-00
boldeba01w,1,74.0,180,1969-06-16
boltoru01w,1,69.0,150,1967-05-25
bondla01w,1,67.0,132,1984-02-13
bonfisu01w,1,68.0,145,1974-09-08
bonnede01w,1,76.0,136,1987-08-21
bookeka01w,5,73.0,170,1965-04-10
bosweca01w,2,72.0,168,1962-11-10
bouceje01w,1,68.0,130,1973-12-20
bouchke01w,4,74.0,163,1968-01-13
bowenli01w,1,67.0,145,1983-10-25
boydca01w,4,73.0,172,1975-10-31
boyerli99w,0,0.0,0,0000-00-00
bradlki01w,3,77.0,185,1974-08-26
brancli01w,1,64.0,0,0000-00-00
branzal01w,4,76.0,180,1971-07-17
branzge01w,4,76.0,175,1976-07-25
braxtja01w,3,75.0,178,1973-10-06
braxtka01w,3,78.0,210,1983-02-18
brazian01w,4,74.0,169,1976-09-18
brcanra01w,5,80.0,198,1967-04-15
brelaje01w,4,75.0,170,1988-02-23
bristre01w,1,70.0,139,1978-02-10
brogami01w,4,73.0,177,1973-02-08
brondsa01w,1,67.0,136,1968-08-20
brownci01w,3,74.0,183,1965-03-16
brownco01w,1,69.0,150,1980-10-21
brownde01w,0,0.0,0,0000-00-00
browned01w,2,69.0,163,1978-07-01
brownki01w,1,70.0,134,1979-01-13
brownla01w,5,75.0,180,1972-12-01
brownle01w,4,72.0,166,1977-06-03
brownru01w,4,74.0,175,1972-05-05
brucegr99w,0,0.0,0,0000-00-00
brumfma01w,1,68.0,133,1978-06-06
brungje01w,4,73.0,165,1982-04-16
brunsre01w,4,75.0,175,1981-12-11
bryanjo01w,0,0.0,0,0000-00-00
bullevi01w,4,75.0,185,1967-10-04
burgean01w,1,67.0,141,1969-04-10
burgehe01w,5,77.0,195,1971-11-11
burgehe02w,4,77.0,180,1971-11-11
burgeli01w,4,73.0,173,1969-07-27
burraal01w,5,75.0,218,1975-06-23
burseja01w,5,77.0,199,1979-05-19
buttsta01w,1,71.0,160,1982-03-10
byearla01w,2,71.0,206,1973-08-12
byrdla01w,1,66.0,131,1960-02-01
cabezli01w,3,75.0,178,1973-10-25
cainke01w,5,78.0,220,1989-05-16
