year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won,lost,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht,OReb,DReb,Reb,3PtR,PPG,playoff_qualification
9,ATL,EA,7,0,0,0,895,542,737,1077,492,796,285,142,1014,679,172,502,1265,684,726,310,134,4,30,34,2,18,0.118,0.895,1.022,-0.127,0.492,0.282,0.718,0.282,0.338,74.529,0.0
10,ATL,EA,2,0,0,0,1089,569,855,1259,547,741,329,121,996,624,181,530,1174,615,700,347,133,18,16,34,10,12,0.529,0.971,0.943,0.028,0.518,0.33,0.67,0.33,0.305,84.147,1.0
1,CHA,EA,8,0,0,0,812,431,630,935,551,713,222,90,879,533,138,423,990,596,596,259,123,8,24,32,5,16,0.25,0.931,1.036,-0.105,0.507,0.315,0.685,0.315,0.339,68.312,0.0
2,CHA,EA,4,1,1,0,746,410,639,948,467,605,217,114,732,431,114,369,911,443,579,257,124,18,14,32,15,6,0.562,0.944,0.915,0.029,0.511,0.353,0.647,0.353,0.357,64.219,1.0
3,CHA,EA,2,0,0,0,770,490,653,955,496,647,241,105,778,444,133,372,915,489,600,208,103,18,14,32,12,9,0.562,1.024,0.97,0.054,0.538,0.328,0.672,0.328,0.4,70.031,1.0
4,CHA,EA,2,0,0,0,787,456,629,971,499,697,279,115,790,477,138,407,1007,491,606,264,104,18,16,34,12,12,0.529,0.966,0.963,0.003,0.518,0.355,0.645,0.355,0.362,65.206,1.0
5,CHA,EA,5,0,0,0,745,436,616,872,426,648,210,134,800,438,130,349,996,516,595,243,114,16,18,34,8,12,0.471,0.94,0.96,-0.02,0.522,0.29,0.71,0.29,0.362,61.529,0.0
6,CHA,EA,6,0,0,0,772,447,609,925,493,727,284,113,851,509,124,339,1055,496,654,269,146,6,28,34,4,16,0.176,0.871,0.981,-0.11,0.479,0.311,0.689,0.311,0.346,61.618,0.0
7,CHA,EA,6,0,0,0,864,552,747,1094,527,734,315,155,911,594,155,465,1240,522,707,286,125,11,23,34,6,14,0.324,0.894,0.936,-0.042,0.487,0.285,0.715,0.285,0.324,72.235,0.0
7,CHI,EA,7,0,0,0,858,449,680,1037,509,674,277,125,971,545,200,536,1239,623,584,262,120,5,29,34,4,16,0.147,0.884,1.023,-0.139,0.472,0.293,0.707,0.293,0.293,68.294,0.0
8,CHI,EA,6,0,0,0,925,489,782,1165,597,634,262,112,963,501,184,481,1225,584,683,242,138,14,20,34,6,14,0.412,0.928,0.963,-0.035,0.486,0.312,0.688,0.312,0.342,74.265,0.0
9,CHI,EA,5,0,0,0,899,564,770,1127,548,639,269,149,917,506,170,508,1160,531,681,255,124,12,22,34,10,10,0.353,0.942,0.948,-0.006,0.503,0.31,0.69,0.31,0.323,72.706,0.0
10,CHI,EA,5,0,0,0,930,527,776,1083,532,605,249,138,1004,479,206,593,1156,610,636,273,121,16,18,34,10,12,0.471,0.965,1.009,-0.044,0.527,0.278,0.722,0.278,0.395,75.676,0.0
1,CLE,EA,2,1,0,0,809,426,603,934,539,647,259,91,774,455,119,368,873,540,693,305,95,17,15,32,13,8,0.531,0.956,0.926,0.03,0.526,0.357,0.643,0.357,0.346,68.281,1.0
2,CLE,EA,1,0,0,0,763,372,662,959,503,532,267,83,664,328,132,417,891,434,597,225,127,22,10,32,15,6,0.688,0.937,0.836,0.101,0.503,0.333,0.667,0.333,0.316,62.625,1.0
3,CLE,EA,7,0,0,0,760,430,674,969,480,567,221,83,797,397,149,441,918,530,613,242,109,10,22,32,7,14,0.312,0.933,0.967,-0.034,0.502,0.316,0.684,0.316,0.324,64.719,0.0
