playerID,award,year
thompti01w,All-Star Game Most Valuable Player,2
leslili01w,All-Star Game Most Valuable Player,3
leslili01w,All-Star Game Most Valuable Player,4
teaslni01w,All-Star Game Most Valuable Player,5
swoopsh01w,All-Star Game Most Valuable Player,7
douglka01w,All-Star Game Most Valuable Player,8
fordch01w,All-Star Game Most Valuable Player,9
cashsw01w,All-Star Game Most Valuable Player,11
coopemi01w,Coach of the Year,2
hugheda99w,Coach of the Year,3
stanlma99w,Coach of the Year,4
laimbbi01w,Coach of the Year,5
mcconsu01w,Coach of the Year,6
whisejo99w,Coach of the Year,7
thibami99w,Coach of the Year,8
hugheda99w,Coach of the Year,9
thibami99w,Coach of the Year,10
meadoma99w,Coach of the Year,11
swoopsh01w,Defensive Player of the Year,2
blackde01w,Defensive Player of the Year,3
swoopsh01w,Defensive Player of the Year,4
swoopsh01w,Defensive Player of the Year,5
leslili01w,Defensive Player of the Year,6
catchta01w,Defensive Player of the Year,7
catchta01w,Defensive Player of the Year,8
jacksla01w,Defensive Player of the Year,9
leslili01w,Defensive Player of the Year,10
catchta01w,Defensive Player of the Year,11
lawsoka01w,Kim Perrot Sportsmanship,11
mcconsu01w,Kim Perrot Sportsmanship Award,2
wickssu01w,Kim Perrot Sportsmanship Award,3
gilloje01w,Kim Perrot Sportsmanship Award,4
campbed01w,Kim Perrot Sportsmanship Award,5
edwarte01w,Kim Perrot Sportsmanship Award,6
mcwilta01w,Kim Perrot Sportsmanship Award,7
staleda01w,Kim Perrot Sportsmanship Award,8
beviltu01w,Kim Perrot Sportsmanship Award,9
johnsvi01w,Kim Perrot Sportsmanship Award,10
phillta01w,Most Improved Player,2
arcaija01w,Most Improved Player,3
milleco01w,Most Improved Player,4
snowmi01w,Most Improved Player,5
milleke01w,Most Improved Player,6
palmewe01w,Most Improved Player,6
mccarja01w,Most Improved Player,9
hoffmeb01w,Most Improved Player,10
langhcr01w,Most Improved Player,11
swoopsh01w,Most Valuable Player,2
leslili01w,Most Valuable Player,3
swoopsh01w,Most Valuable Player,4
jacksla01w,Most Valuable Player,5
leslili01w,Most Valuable Player,6
swoopsh01w,Most Valuable Player,7
leslili01w,Most Valuable Player,8
jacksla01w,Most Valuable Player,9
parkeca01w,Most Valuable Player,10
tauradi01w,Most Valuable Player,11
lennobe01w,Rookie of the Year,2
stileja01w,Rookie of the Year,3
catchta01w,Rookie of the Year,4
fordch01w,Rookie of the Year,5
tauradi01w,Rookie of the Year,6
johnste01w,Rookie of the Year,7
augusse01w,Rookie of the Year,8
pricear01w,Rookie of the Year,9
parkeca01w,Rookie of the Year,10
mccouan01w,Rookie of the Year,11
pierspl01w,Sixth Woman of the Year,9
wiggica01w,Sixth Woman of the Year,10
bonnede01w,Sixth Woman of the Year,11
coopecy01w,WNBA Finals Most Valuable Player,2
leslili01w,WNBA Finals Most Valuable Player,3
leslili01w,WNBA Finals Most Valuable Player,4
rileyru01w,WNBA Finals Most Valuable Player,5
lennobe01w,WNBA Finals Most Valuable Player,6
griffyo01w,WNBA Finals Most Valuable Player,7
nolande01w,WNBA Finals Most Valuable Player,8
pondeca01w,WNBA Finals Most Valuable Player,9
smithka01w,WNBA Finals Most Valuable Player,10
tauradi01w,WNBA Finals Most Valuable Player,11
birdsu01w,WNBA All-Decade Team,8
catchta01w,WNBA All-Decade Team,8
coopecy01w,WNBA All-Decade Team,8
griffyo01w,WNBA All-Decade Team,8
jacksla01w,WNBA All-Decade Team,8
leslili01w,WNBA All-Decade Team,8
smithka01w,WNBA All-Decade Team,8
staleda01w,WNBA All-Decade Team,8
swoopsh01w,WNBA All-Decade Team,8
thompti01w,WNBA All-Decade Team,8
boltoru01w,WNBA All Decade Team Honorable Mention,8
holdsch01w,WNBA All Decade Team Honorable Mention,8
penicti01w,WNBA All Decade Team Honorable Mention,8
tauradi01w,WNBA All Decade Team Honorable Mention,8
weathte01w,WNBA All Decade Team Honorable Mention,8
