coachID,year,tmID,stint,won,lost,post_wins,post_losses
adamsmi01w,5,WAS,0,17.36,12.82,1.64,1.55
adubari99w,2,NYL,0,20.0,12.0,4.0,3.0
adubari99w,3,NYL,0,21.0,11.0,3.0,3.0
adubari99w,4,NYL,0,18.0,14.0,4.0,4.0
adubari99w,5,NYL,1,16.0,18.0,0.0,0.0
adubari99w,6,WAS,0,7.0,9.0,0.0,0.0
adubari99w,7,WAS,0,16.0,18.0,0.0,0.0
adubari99w,8,WAS,1,18.0,16.0,0.0,2.0
aglerbr99w,2,MIN,0,15.0,17.0,0.0,0.0
aglerbr99w,3,MIN,1,12.0,20.0,0.0,0.0
aglerbr99w,9,SEA,0,6.0,13.0,0.0,0.0
aglerbr99w,10,SEA,0,22.0,12.0,1.0,2.0
allenso99w,2,SAC,1,21.0,11.0,0.0,2.0
bibbyhe01w,6,LAS,1,15.58,15.58,1.5,1.42
boguemu01w,6,CHA,2,15.58,15.58,1.5,1.42
boguemu01w,7,CHA,0,3.0,7.0,0.0,0.0
bouceje01w,8,SAC,0,17.3,13.3,1.2,1.3
bouceje01w,9,SAC,0,19.0,15.0,1.0,2.0
bouceje01w,10,SAC,1,18.0,16.0,1.0,2.0
brownde01w,3,ORL,0,15.86,14.36,1.29,1.29
brownde01w,5,SAS,2,16.0,16.0,0.0,0.0
bryanjo01w,6,LAS,2,15.58,15.58,1.5,1.42
bryanjo01w,7,LAS,0,4.0,2.0,0.0,2.0
chancva99w,2,HOU,0,27.0,5.0,6.0,0.0
chancva99w,3,HOU,0,19.0,13.0,0.0,2.0
chancva99w,4,HOU,0,24.0,8.0,1.0,2.0
chancva99w,5,HOU,0,20.0,14.0,1.0,2.0
chancva99w,6,HOU,0,13.0,21.0,0.0,0.0
chancva99w,7,HOU,0,19.0,15.0,2.0,3.0
coopecy01w,2,PHO,0,16.67,15.33,1.33,1.0
coopecy01w,3,PHO,1,13.0,19.0,0.0,0.0
coopemi01w,2,LAS,0,28.0,4.0,2.0,2.0
coopemi01w,3,LAS,0,28.0,4.0,6.0,1.0
coopemi01w,4,LAS,0,25.0,7.0,6.0,0.0
coopemi01w,5,LAS,1,24.0,10.0,5.0,4.0
coopemi01w,8,LAS,0,14.0,6.0,0.0,0.0
coopemi01w,9,LAS,0,10.0,24.0,0.0,0.0
coopemi01w,10,LAS,0,20.0,14.0,3.0,3.0
cowenda01w,7,CHI,0,15.75,13.92,1.42,1.42
coylepa99w,5,NYL,2,17.36,12.82,1.64,1.55
coylepa99w,6,NYL,0,11.0,7.0,2.0,3.0
