playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,num_awards
abrossv01w,2,0,MIN,27.47,15.65,612.86,211.84,30.0,62.37,92.37,47.2,24.88,10.88,46.06,62.03,178.46,77.47,60.54,44.63,37.18,12.27,0.68,1.69,0.94,39.12,12.03,2.0,4.03,6.03,2.86,1.51,0.62,2.58,3.48,10.52,4.54,2.79,2.14,2.45,0.81,0.03,0.02
abrossv01w,3,0,MIN,26.0,23.0,846.0,343.0,43.0,131.0,174.0,53.0,42.0,9.0,85.0,70.0,293.0,114.0,132.0,96.0,76.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,4,0,MIN,27.0,27.0,805.0,314.0,45.0,101.0,146.0,60.0,42.0,10.0,92.0,73.0,316.0,119.0,116.0,56.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,5,0,MIN,30.0,25.0,792.0,318.0,44.0,97.0,141.0,82.0,44.0,11.0,90.0,79.0,285.0,112.0,98.0,69.0,82.0,25.0,0.0,3.0,3.0,69.0,23.0,1.0,4.0,5.0,4.0,4.0,1.0,8.0,8.0,22.0,6.0,8.0,8.0,7.0,3.0,0.0,0.0
abrossv01w,6,0,MIN,22.0,11.0,462.0,146.0,17.0,57.0,74.0,45.0,30.0,2.0,43.0,42.0,139.0,49.0,46.0,28.0,53.0,20.0,0.0,2.0,2.0,67.0,20.0,3.0,6.0,9.0,3.0,1.0,2.0,3.0,7.0,23.0,8.0,4.0,2.0,8.0,2.0,0.0,0.0
abrossv01w,7,0,MIN,31.0,31.0,777.0,304.0,29.0,78.0,107.0,60.0,48.0,6.0,80.0,86.0,276.0,109.0,73.0,53.0,82.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,8,0,MIN,34.0,2.0,724.0,263.0,44.0,62.0,106.0,54.0,34.0,1.0,61.0,66.0,241.0,99.0,62.0,41.0,65.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrossv01w,9,0,CON,34.0,29.0,843.0,345.0,53.0,97.0,150.0,85.0,44.0,4.0,68.0,86.0,298.0,132.0,43.0,36.0,101.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsjo01w,4,0,MIN,26.12,15.6,604.13,208.08,28.55,61.69,90.24,47.04,23.71,11.16,42.62,55.83,178.36,75.29,57.52,43.31,41.07,14.19,0.53,1.78,1.11,44.72,16.41,2.01,4.64,6.66,3.96,1.6,0.72,2.72,3.83,13.91,6.03,4.09,3.11,3.47,1.23,0.02,0.05
aguilel01w,3,0,UTA,25.23,13.75,548.8,181.49,26.81,57.19,84.0,40.49,21.88,9.7,39.26,50.48,160.77,66.49,49.2,36.53,35.69,11.98,0.41,1.74,1.06,41.03,13.2,1.91,4.14,6.05,3.08,1.38,0.95,2.43,3.52,11.93,4.9,3.33,2.48,2.82,0.93,0.02,0.05
ajavoma01w,9,0,HOU,26.3,13.75,549.16,209.96,28.39,66.05,94.44,44.4,21.72,10.61,42.77,53.46,179.59,76.48,55.67,42.66,40.99,14.34,0.44,2.46,1.36,56.15,22.09,2.92,7.19,10.11,4.72,1.89,1.15,3.64,5.21,19.28,8.05,5.13,3.95,5.4,2.05,0.05,0.07
ajavoma01w,10,0,WAS,34.0,2.0,604.0,273.0,33.0,27.0,60.0,59.0,31.0,6.0,55.0,85.0,284.0,94.0,91.0,72.0,68.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrima01w,2,0,WAS,29.0,0.0,272.0,63.0,8.0,16.0,24.0,28.0,9.0,4.0,27.0,30.0,54.0,25.0,22.0,7.0,12.0,6.0,0.0,2.0,0.0,49.0,14.0,1.0,3.0,4.0,7.0,1.0,0.0,1.0,3.0,11.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0
