year,tmID,W,L
2,CLE,3.0,3.0
2,CHA,3.0,2.0
2,MIA,3.0,2.0
2,NYL,4.0,3.0
2,HOU,6.0,0.0
2,LAS,2.0,2.0
2,UTA,3.0,2.0
2,SAC,0.0,2.0
3,WAS,0.0,2.0
3,SEA,2.17,2.33
3,LAS,6.0,1.0
3,HOU,0.0,2.0
3,UTA,0.0,2.0
3,IND,2.17,2.33
3,NYL,3.0,3.0
3,CHA,4.0,4.0
4,SAC,3.0,2.0
4,CLE,1.0,2.0
4,DET,2.2,1.6
4,CHA,0.0,2.0
4,CON,2.2,1.6
4,MIN,2.2,1.6
4,LAS,6.0,0.0
4,HOU,1.0,2.0
5,WAS,3.0,2.0
5,CON,2.0,2.0
5,DET,6.0,2.0
5,NYL,4.0,4.0
5,MIN,1.0,2.0
5,SEA,0.0,2.0
5,LAS,5.0,4.0
5,SAC,3.0,3.0
6,CON,5.0,3.0
6,NYL,2.0,3.0
6,IND,1.0,2.0
6,SEA,6.0,2.0
6,HOU,1.0,2.0
6,LAS,1.0,2.0
6,SAC,3.0,3.0
6,DET,1.0,2.0
7,LAS,0.0,2.0
7,HOU,2.0,3.0
7,SAC,7.0,1.0
7,IND,2.0,2.0
7,DET,0.0,2.0
7,WAS,1.0,2.0
7,CON,5.0,3.0
7,SEA,1.0,2.0
8,NYL,0.0,2.0
8,DET,7.0,3.0
8,CON,3.0,2.0
8,IND,0.0,2.0
8,SEA,1.0,2.0
8,PHO,0.0,2.0
8,SAC,6.0,3.0
8,SAS,2.43,2.29
9,SAS,2.0,3.0
9,SEA,0.0,2.0
9,LAS,2.0,3.0
9,IND,3.0,3.0
9,DET,6.0,5.0
9,CON,1.0,2.0
9,NYL,1.0,2.0
9,SAC,1.0,2.0
10,IND,1.0,2.0
10,ATL,3.29,2.57
10,DET,7.0,2.0
10,SAS,4.0,5.0
10,PHO,7.0,2.0
10,SEA,1.0,2.0
10,LAS,3.0,3.0
10,WAS,0.0,2.0
