year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won_x,lost_x,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht_x,OReb,DReb,Reb,3PtR,PPG_x,playoff_qualification,W,L,points,rebounds,assists,steals,blocks,turnovers,TSht_y,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG_y,num_awards,won_y,lost_y,post_wins,post_losses
9,ATL,EA,6.0,0.0,0.0,0.0,896.2,475.2,768.8,1111.8,508.8,631.2,241.2,105.8,894.2,474.2,161.2,477.0,1083.8,514.6,616.8,245.6,107.8,12.4,12.6,34.0,7.6,14.0,0.36,0.92,0.91,-0.05,0.5,0.28,0.67,0.28,0.34,73.65,0.0,,,1838.0,821.0,379.0,184.0,82.0,396.0,0.48,0.755,0.156,0.055,0.101,0.029,0.018,4.492,0.0,10.0,13.5,0.0,2.5
10,ATL,EA,7.0,0.0,0.0,0.0,895.0,542.0,737.0,1077.0,492.0,796.0,285.0,142.0,1014.0,679.0,172.0,502.0,1265.0,684.0,726.0,310.0,134.0,4.0,30.0,34.0,2.0,18.0,0.118,0.895,1.022,-0.127,0.492,0.282,0.718,0.282,0.338,74.529,0.0,,,2547.4,1231.8,566.0,304.0,131.7,559.7,0.494,0.888,0.169,0.057,0.11,0.04,0.019,7.763,0.0,4.0,30.0,0.0,0.0
2,CHA,EA,8.0,0.0,0.0,0.0,812.0,431.0,630.0,935.0,551.0,713.0,222.0,90.0,879.0,533.0,138.0,423.0,990.0,596.0,596.0,259.0,123.0,8.0,24.0,32.0,5.0,16.0,0.25,0.931,1.036,-0.105,0.507,0.315,0.685,0.315,0.339,68.312,0.0,,,2129.25,798.25,600.0,245.25,69.0,473.0,0.496,0.98,0.128,0.041,0.085,0.034,0.009,6.401,0.0,9.0,23.0,0.0,0.0
3,CHA,EA,4.0,1.0,1.0,0.0,746.0,410.0,639.0,948.0,467.0,605.0,217.0,114.0,732.0,431.0,114.0,369.0,911.0,443.0,579.0,257.0,124.0,18.0,14.0,32.0,15.0,6.0,0.562,0.944,0.915,0.029,0.511,0.353,0.647,0.353,0.357,64.219,1.0,4.0,4.0,2089.0,950.0,475.0,213.0,122.0,477.0,0.47,0.86,0.147,0.05,0.098,0.03,0.016,5.846,0.0,18.0,14.0,4.0,4.0
4,CHA,EA,2.0,0.0,0.0,0.0,770.0,490.0,653.0,955.0,496.0,647.0,241.0,105.0,778.0,444.0,133.0,372.0,915.0,489.0,600.0,208.0,103.0,18.0,14.0,32.0,12.0,9.0,0.562,1.024,0.97,0.054,0.538,0.328,0.672,0.328,0.4,70.031,1.0,0.0,2.0,2166.8,879.4,513.0,246.0,89.0,394.0,0.493,1.351,0.133,0.048,0.084,0.037,0.014,6.782,0.0,11.4,9.4,0.0,2.65
5,CHA,EA,2.0,0.0,0.0,0.0,787.0,456.0,629.0,971.0,499.0,697.0,279.0,115.0,790.0,477.0,138.0,407.0,1007.0,491.0,606.0,264.0,104.0,18.0,16.0,34.0,12.0,12.0,0.529,0.966,0.963,0.003,0.518,0.355,0.645,0.355,0.362,65.206,1.0,0.0,2.0,2267.0,1094.0,573.6,299.0,126.0,538.6,0.472,0.889,0.135,0.044,0.088,0.032,0.016,5.293,0.0,18.0,16.0,0.0,2.0
6,CHA,EA,5.0,0.0,0.0,0.0,745.0,436.0,616.0,872.0,426.0,648.0,210.0,134.0,800.0,438.0,130.0,349.0,996.0,516.0,595.0,243.0,114.0,16.0,18.0,34.0,8.0,12.0,0.471,0.94,0.96,-0.02,0.522,0.29,0.71,0.29,0.362,61.529,0.0,,,2852.45,1236.0,681.0,323.0,152.0,610.45,0.452,0.908,0.135,0.045,0.089,0.039,0.017,5.656,0.0,28.3,30.25,0.0,3.0
7,CHA,EA,6.0,0.0,0.0,0.0,772.0,447.0,609.0,925.0,493.0,727.0,284.0,113.0,851.0,509.0,124.0,339.0,1055.0,496.0,654.0,269.0,146.0,6.0,28.0,34.0,4.0,16.0,0.176,0.871,0.981,-0.11,0.479,0.311,0.689,0.311,0.346,61.618,0.0,,,1686.0,792.0,335.0,219.0,90.0,415.0,0.457,0.72,0.127,0.038,0.085,0.033,0.012,5.189,0.0,3.0,7.0,0.0,0.0
7,CHI,EA,6.0,0.0,0.0,0.0,781.6,445.0,673.4,945.4,472.6,621.8,211.4,94.0,782.2,440.6,121.8,361.4,985.4,468.6,642.8,228.2,103.6,12.6,12.2,34.0,8.0,13.6,0.37,0.89,0.91,-0.05,0.49,0.27,0.67,0.27,0.32,63.65,0.0,,,1622.0,831.0,427.0,216.0,97.0,388.0,0.464,0.929,0.122,0.037,0.083,0.033,0.011,3.685,0.0,5.95,7.65,0.0,2.35
8,CHI,EA,7.0,0.0,0.0,0.0,858.0,449.0,680.0,1037.0,509.0,674.0,277.0,125.0,971.0,545.0,200.0,536.0,1239.0,623.0,584.0,262.0,120.0,5.0,29.0,34.0,4.0,16.0,0.147,0.884,1.023,-0.139,0.472,0.293,0.707,0.293,0.293,68.294,0.0,,,2185.0,976.5,465.0,232.0,93.0,409.5,0.44,0.944,0.137,0.04,0.094,0.033,0.011,5.782,0.0,11.7,6.7,0.0,2.0
