feature,importance
rank,0.15090804591901033
L,0.15018656252565843
win_loss_ratio,0.10826237343932239
confW,0.10179850276649119
won_x,0.08152249541795509
confL,0.06885370775987251
lost_x,0.04939940071306944
W,0.0489609035026654
ORtg,0.027402350109537624
post_wins,0.02642808629460465
NRtg,0.024496950208131165
won_y,0.01873554954978195
d_blk,0.01266371189371505
DRtg,0.010939174732906275
d_3pa,0.009671548293316325
firstRound,0.008505575940449893
steals,0.008203463407507527
post_losses,0.007749423258236779
points,0.005707906575000187
turnovers,0.004991404948510067
lost_y,0.004490254598386087
DRebP,0.004224435663322536
d_ftm,0.004045955749153399
d_reb,0.0037797885820995067
StlR,0.0036289004891577443
Reb,0.0034717058136720107
o_reb,0.003418280015308596
BlkR,0.003370869492794489
PPG_y,0.0033174329818346053
ORebP,0.0031767734113068817
blocks,0.00300792377630613
o_dreb,0.0027092698839083712
o_blk,0.002644905559338876
d_asts,0.0025777235700768513
o_asts,0.00249800560079659
rebounds,0.002476894447426874
OReb,0.0020884229867495583
AstTO,0.0020058749155523353
TSht_y,0.0016806091806091808
d_stl,0.0016500686813186811
PPG_x,0.0016059835465717812
RebP,0.0015335181451612905
o_ftm,0.0012957157784743993
DReb,0.001278513883777041
d_pf,0.001212121212121212
TSht_x,0.0012109375000000002
3PtR,0.0011580964172427592
assists,0.0010742476018338093
year,0.0010591531484388632
o_stl,0.0010054054054054057
d_fgm,0.0007960152116402115
o_pf,0.000749798261042639
GP,0.0003239289446185998
o_fgm,4.53322888105499e-05
semis,0.0
d_3pm,0.0
finals,0.0
num_awards,0.0
PER,0.0
