feature,importance
rank,0.1737819300784389
L,0.13040941958313643
win_loss_ratio,0.09722032081509631
won_x,0.09314052527920612
confW,0.08975766143747817
confL,0.07811468038908782
lost_x,0.06914043900278173
ORtg,0.03328437629508119
DRtg,0.023099100164871295
W,0.021724255364756962
lost_y,0.016835135663611958
NRtg,0.01606649126972765
post_wins,0.013664385589914648
TSht_x,0.011224949353737294
d_blk,0.011121285229757548
o_pf,0.00969947884456313
rebounds,0.009538162852511496
post_losses,0.007118435961940919
steals,0.007102292594499848
o_fgm,0.006924260129471613
firstRound,0.00521170892599464
o_stl,0.005158882851767479
TSht_y,0.004946830046071899
d_ftm,0.004881100121652725
OReb,0.004437411798271746
DReb,0.004110481810052508
d_stl,0.003960061022976934
d_3pa,0.0036180235535074228
turnovers,0.003354456905388791
o_ftm,0.003244858214895944
AstTO,0.0026101409831071915
RebP,0.002554092164245966
Reb,0.0023961271260788
PER,0.002313401339725729
DRebP,0.0022271960350202045
d_3pm,0.002221682382439002
assists,0.0020243028052875254
o_reb,0.001971064854119618
d_fgm,0.0019095669689854957
o_blk,0.0019085370721232794
d_asts,0.0017370539222531637
blocks,0.0016715635241951032
points,0.0016593630855090942
semis,0.001464321464321464
d_pf,0.001311295033449257
StlR,0.001309314341572406
PPG_x,0.0012737089886264855
d_reb,0.0011539961013645233
ORebP,0.001142857142857143
BlkR,0.0010218312153796021
o_dreb,0.0006376121298721917
PPG_y,0.0005677691474145462
GP,0.00042328042328042324
won_y,0.0003003003003003009
num_awards,0.0002982202982202978
finals,0.0
year,0.0
o_asts,0.0
3PtR,0.0
