playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,MIN,PTS,ORB,DRB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,uPER,PER
abrossv01w,2,0,MIN,WNBA,26,23,846,343,43,131,174,53,42,9,85,0,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,343,43,131,53,42,9,85,0,0,0,0,0.5099290719866542,0.5099290719866542
abrossv01w,3,0,MIN,WNBA,27,27,805,314,45,101,146,60,42,10,92,0,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,314,45,101,60,42,10,92,0,0,0,0,0.4916770125257514,0.4916770125257514
abrossv01w,4,0,MIN,WNBA,30,25,792,318,44,97,141,82,44,11,90,0,285,112,98,69,82,25,0,3,3,69,23,1,4,5,4,4,1,8,8,22,6,8,8,7,3,0,792,318,44,97,82,44,11,90,0,0,0,0,0.5364898922160368,0.5364898922160368
abrossv01w,5,0,MIN,WNBA,22,11,462,146,17,57,74,45,30,2,43,0,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,462,146,17,57,45,30,2,43,0,0,0,0,0.4523809425891571,0.4523809425891571
abrossv01w,6,0,MIN,WNBA,31,31,777,304,29,78,107,60,48,6,80,0,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,304,29,78,60,48,6,80,0,0,0,0,0.4912483849260182,0.4912483849260182
abrossv01w,7,0,MIN,WNBA,34,2,724,263,44,62,106,54,34,1,61,0,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,263,44,62,54,34,1,61,0,0,0,0,0.47016573936235173,0.47016573936235173
abrossv01w,8,0,MIN,WNBA,34,29,843,345,53,97,150,85,44,4,68,0,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,345,53,97,85,44,4,68,0,0,0,0,0.5648873005351448,0.5648873005351448
abrossv01w,9,0,CON,WNBA,6,0,107,34,3,17,20,12,8,0,11,0,36,11,12,10,12,2,0,3,2,63,24,3,8,11,4,4,0,3,8,24,11,4,2,5,0,0,107,34,3,17,12,8,0,11,0,0,0,0,0.46915883465805286,0.46915883465805286
adamsjo01w,4,0,MIN,WNBA,10,0,96,33,10,13,23,4,2,3,10,0,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,33,10,13,4,2,3,10,0,0,0,0,0.44687495345052564,0.44687495345052564
aguilel01w,3,0,UTA,WNBA,28,0,141,43,0,11,11,16,3,2,11,0,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,141,43,0,11,16,3,2,11,0,0,0,0,0.3992907518233509,0.3992907518233509
ajavoma01w,9,0,HOU,WNBA,34,2,604,273,33,27,60,59,31,6,55,0,284,94,91,72,68,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,273,33,27,59,31,6,55,0,0,0,0,0.571523169345643,0.571523169345643
ajavoma01w,10,0,WAS,WNBA,34,4,587,272,27,37,64,37,37,4,50,0,253,85,110,74,82,28,1,2,0,34,19,1,4,5,3,4,0,2,6,16,6,6,5,8,2,0,587,272,27,37,37,37,4,50,0,0,0,0,0.5621805696391726,0.5621805696391726
aldrima01w,1,0,WAS,WNBA,29,0,272,63,8,16,24,28,9,4,27,0,54,25,22,7,12,6,0,2,0,49,14,1,3,4,7,1,0,1,3,11,5,8,4,3,0,0,272,63,8,16,28,9,4,27,0,0,0,0,0.3213235175984001,0.3213235175984001
aldrima01w,2,0,WAS,WNBA,5,0,35,7,2,0,2,2,0,0,4,0,9,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,2,0,2,0,0,4,0,0,0,0,0.18285709061225983,0.18285709061225983
alhalta01w,2,0,ORL,WNBA,26,1,252,49,15,23,38,14,11,0,28,0,58,19,14,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,49,15,23,14,11,0,28,0,0,0,0,0.25158729160367893,0.25158729160367893
allench01w,9,0,SAC,WNBA,6,0,49,16,2,4,6,3,1,0,6,0,16,7,0,0,6,2,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,49,16,2,4,3,1,0,6,0,0,0,0,0.33877544106623647,0.33877544106623647
amachma01w,2,0,NYL,WNBA,2,0,3,1,1,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,0,0,0,0,0.5666647777840741,0.5666647777840741
amachma01w,4,0,SEA,WNBA,7,0,47,8,4,10,14,0,5,2,9,0,10,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,4,10,0,5,2,9,0,0,0,0,0.2510637763694093,0.2510637763694093
amachma01w,6,0,WAS,WNBA,3,0,3,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0.6666644444518518,0.6666644444518518
ambermo01w,3,0,SAC,WNBA,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
anderam01w,7,1,CON,WNBA,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.5999940000599994,0.5999940000599994
anderam01w,7,2,NYL,WNBA,3,0,9,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,1,0,1,0,0,0,0,0.11111098765445816,0.11111098765445816
anderch01w,4,0,SAC,WNBA,26,0,171,42,7,17,24,5,5,5,17,0,44,19,12,4,0,0,1,5,0,29,7,0,3,3,0,0,2,4,7,5,3,2,1,0,0,0,171,42,7,17,5,5,5,17,0,0,0,0,0.29239764371943605,0.29239764371943605
anderch01w,5,0,SAC,WNBA,30,0,231,77,14,20,34,5,3,6,25,0,64,25,37,27,0,0,0,2,0,11,2,0,2,2,1,0,0,1,1,2,1,0,0,0,0,0,231,77,14,20,5,3,6,25,0,0,0,0,0.35411253878300697,0.35411253878300697
anderch01w,6,0,SAS,WNBA,34,19,669,203,28,62,90,11,8,15,55,0,178,83,46,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,203,28,62,11,8,15,55,0,0,0,0,0.3291479771427806,0.3291479771427806
anderch01w,7,0,SAS,WNBA,23,20,414,153,28,57,85,15,7,10,29,0,112,59,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,153,28,57,15,7,10,29,0,0,0,0,0.4654589259550984,0.4654589259550984
anderch01w,8,0,SAS,WNBA,11,1,86,28,6,14,20,3,1,5,5,0,20,10,12,8,0,0,0,2,0,5,2,1,0,1,0,0,0,0,3,1,0,2,2,0,0,0,86,28,6,14,3,1,5,5,0,0,0,0,0.46976738723635036,0.46976738723635036
anderjo01w,9,0,CON,WNBA,24,7,367,97,11,47,58,26,7,1,16,0,126,35,15,11,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,97,11,47,26,7,1,16,0,0,0,0,0.37275203343999913,0.37275203343999913
anderke01w,1,0,WAS,WNBA,30,9,434,75,12,34,46,75,25,3,47,0,68,29,18,14,8,3,0,2,2,30,2,2,3,5,5,0,0,4,1,3,1,2,0,0,0,0,434,75,12,34,75,25,3,47,0,0,0,0,0.3447004528870864,0.3447004528870864
anderke01w,2,0,CHA,WNBA,18,0,102,12,3,12,15,14,6,0,17,0,16,2,10,8,2,0,0,2,0,7,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,102,12,3,12,14,6,0,17,0,0,0,0,0.20294115657439643,0.20294115657439643
anderke01w,3,0,CHA,WNBA,7,0,31,7,2,4,6,5,0,0,3,0,12,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,2,4,5,0,0,3,0,0,0,0,0.37419342767953945,0.37419342767953945
andrame01w,1,0,CLE,WNBA,32,18,797,265,32,63,95,75,41,10,65,0,195,89,80,60,75,27,1,6,5,166,21,5,12,17,14,6,3,11,17,33,8,9,5,9,0,0,797,265,32,63,75,41,10,65,0,0,0,0,0.46085319371576916,0.46085319371576916
andrame01w,2,0,CLE,WNBA,32,32,893,152,21,66,87,100,51,10,61,0,171,58,45,30,30,6,0,3,3,72,13,5,4,9,1,2,2,7,9,17,6,0,0,2,1,0,893,152,21,66,100,51,10,61,0,0,0,0,0.3208286638205077,0.3208286638205077
andrame01w,3,0,CLE,WNBA,32,16,665,91,17,39,56,67,29,6,41,0,111,34,23,18,26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,91,17,39,67,29,6,41,0,0,0,0,0.2640601464051106,0.2640601464051106
andrame01w,5,0,CHA,WNBA,12,0,65,9,1,3,4,7,0,1,3,0,7,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9,1,3,7,0,1,3,0,0,0,0,0.23999996307692878,0.23999996307692878
anosini01w,9,0,MIN,WNBA,34,34,920,314,78,153,231,45,75,43,42,0,226,99,166,116,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,314,78,153,45,75,43,42,0,0,0,0,0.5820652110645086,0.5820652110645086
anosini01w,10,0,MIN,WNBA,30,29,896,396,73,149,222,81,81,28,61,0,265,130,194,135,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,396,73,149,81,81,28,61,0,0,0,0,0.6928571351243623,0.6928571351243623
arcaija01w,1,0,HOU,WNBA,32,32,977,268,36,83,119,60,42,3,53,0,233,109,49,41,45,9,1,6,6,201,50,6,21,27,12,10,0,16,14,47,21,7,6,7,2,0,977,268,36,83,60,42,3,53,0,0,0,0,0.3788126880367176,0.3788126880367176
arcaija01w,2,0,HOU,WNBA,32,32,1154,591,49,87,136,94,60,3,83,0,509,217,150,135,66,22,1,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0,1154,591,49,87,94,60,3,83,0,0,0,0,0.6285961817279361,0.6285961817279361
arcaija01w,3,0,HOU,WNBA,32,32,1116,364,42,84,126,86,51,6,71,0,302,128,111,98,37,10,0,3,3,119,39,2,9,11,4,5,1,5,11,35,15,8,7,7,2,0,1116,364,42,84,86,51,6,71,0,0,0,0,0.43960573082790555,0.43960573082790555
arcaija01w,4,0,HOU,WNBA,34,34,1136,390,24,112,136,67,41,1,50,0,324,151,94,79,37,9,0,3,3,107,37,6,8,14,3,8,0,7,5,31,12,13,12,5,1,0,1136,390,24,112,67,41,1,50,0,0,0,0,0.43961267218650824,0.43961267218650824
arcaija01w,6,0,HOU,WNBA,34,34,1079,342,20,73,93,53,55,6,56,0,304,128,94,83,16,3,0,5,5,138,44,1,9,10,6,6,0,2,5,33,16,12,12,1,0,0,1079,342,20,73,53,55,6,56,0,0,0,0,0.4039851677109808,0.4039851677109808
askamma01w,1,0,MIA,WNBA,32,32,869,251,96,135,231,29,17,21,49,0,209,85,117,80,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,251,96,135,29,17,21,49,0,0,0,0,0.4334867614098186,0.4334867614098186
askamma01w,2,0,MIA,WNBA,30,11,431,74,35,52,87,15,12,11,19,0,58,28,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,74,35,52,15,12,11,19,0,0,0,0,0.3088166981713063,0.3088166981713063
askamma01w,3,2,LAS,WNBA,20,4,215,61,24,25,49,4,11,4,11,0,55,26,14,9,1,0,0,4,3,24,2,1,2,3,0,0,0,0,4,5,0,2,2,0,0,0,215,61,24,25,4,11,4,11,0,0,0,0,0.4339534681882108,0.4339534681882108
askamma01w,3,1,MIA,WNBA,6,1,72,11,6,5,11,3,1,1,1,0,10,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11,6,5,3,1,1,1,0,0,0,0,0.28749996006944994,0.28749996006944994
atkinla01w,7,0,IND,WNBA,33,1,417,99,25,51,76,22,18,5,34,0,87,38,39,18,17,5,0,2,0,29,6,10,7,17,3,1,2,2,2,9,2,4,2,0,0,0,417,99,25,51,22,18,5,34,0,0,0,0,0.34244603495333253,0.34244603495333253
atkinla01w,8,0,SAC,WNBA,28,0,226,58,13,31,44,15,10,5,33,0,47,22,19,14,2,0,0,2,0,7,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,226,58,13,31,15,10,5,33,0,0,0,0,0.3247787466912059,0.3247787466912059
atkinla01w,9,0,SAC,WNBA,5,1,73,14,3,11,14,8,5,2,10,0,16,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,14,3,11,8,5,2,10,0,0,0,0,0.33424652955527,0.33424652955527
atkinla01w,10,0,SEA,WNBA,2,1,46,5,6,12,18,5,10,1,4,0,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,6,12,5,10,1,4,0,0,0,0,0.5391303175803657,0.5391303175803657
atunrmo01w,9,0,SAS,WNBA,33,0,348,71,16,32,48,23,16,13,26,0,87,24,16,11,41,12,0,8,0,44,10,0,7,7,4,1,1,1,4,8,4,2,0,4,2,0,348,71,16,32,23,16,13,26,0,0,0,0,0.3385057373992605,0.3385057373992605
